date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:36:40	126/126	---M-Z	200	added ('OK')	text/plain	date:Sat,%2024%20Feb%202024%2021:31:51%20GMT	https://visitmexico.com/robots.txt		(from )
16:36:41	186903/186903	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Feb%202024%2021:31:52%20GMT	https://visitmexico.com/	C:/Users/Usuario/Desktop/proyecto2/visitmexico.com/index.html	(from )
16:36:42	182709/182709	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Feb%202024%2021:31:53%20GMT	https://visitmexico.com/eng/home-2	C:/Users/Usuario/Desktop/proyecto2/visitmexico.com/eng/home-2.html	(from https://visitmexico.com/)
16:36:43	7177/7177	---M-Z	200	added ('OK')	application/rss+xml	etag:%228248d3a5109d00c822a50cab6c47a6a7-gzip%22	https://visitmexico.com/feed	C:/Users/Usuario/Desktop/proyecto2/visitmexico.com/feed	(from https://visitmexico.com/)
16:36:44	75769/75769	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%228248d3a5109d00c822a50cab6c47a6a7%22	https://visitmexico.com/comments/feed	C:/Users/Usuario/Desktop/proyecto2/visitmexico.com/comments/feed	(from https://visitmexico.com/)
16:36:44	88932/88932	---M-Z	200	added ('OK')	text/css	etag:%2215b64-5e8be7da605c0-gzip%22	https://visitmexico.com/wp-includes/css/dist/block-library/style.min.css?ver=0364c89f621c4d7e87c75d04a1b5e1f4	C:/Users/Usuario/Desktop/proyecto2/visitmexico.com/wp-includes/css/dist/block-library/style.min97cd.css	(from https://visitmexico.com/)
16:36:44	8858/8858	---M-Z	200	added ('OK')	text/css	etag:%22229a-5e9968687a4e0-gzip%22	https://visitmexico.com/wp-content/plugins/social-icons-widget-by-wpzoom/block/dist/style-wpzoom-social-icons.css?ver=4.2.7	C:/Users/Usuario/Desktop/proyecto2/visitmexico.com/wp-content/plugins/social-icons-widget-by-wpzoom/block/dist/style-wpzoom-social-icons8ed1.css	(from https://visitmexico.com/)
16:36:44	29380/29380	---M-Z	200	added ('OK')	text/css	etag:%2272c4-5e89b8a372d00-gzip%22	https://visitmexico.com/wp-content/plugins/wpzoom-portfolio/build/blocks/portfolio/style.css?ver=84df4be8f1c26d08d3ed906c087c8445	C:/Users/Usuario/Desktop/proyecto2/visitmexico.com/wp-content/plugins/wpzoom-portfolio/build/blocks/portfolio/style5e2c.css	(from https://visitmexico.com/)
16:36:45	1/1	---M--	200	added ('OK')	text/css	etag:%221-5e89b8a372d00%22	https://visitmexico.com/wp-content/plugins/wpzoom-portfolio/build/blocks/portfolio-layouts/style.css?ver=c93e1888c3baa591588b6596e515e8be	C:/Users/Usuario/Desktop/proyecto2/visitmexico.com/wp-content/plugins/wpzoom-portfolio/build/blocks/portfolio-layouts/styleb217.css	(from https://visitmexico.com/)
16:36:45	2731/2731	---M-Z	200	added ('OK')	text/css	etag:%22aab-5ce14b5e67380-gzip%22	https://visitmexico.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.3	C:/Users/Usuario/Desktop/proyecto2/visitmexico.com/wp-content/plugins/contact-form-7/includes/css/styles42f0.css	(from https://visitmexico.com/)
16:36:45	86985/86985	---M-Z	200	added ('OK')	text/css	etag:%22153c9-5e89aac3f7200-gzip%22	https://visitmexico.com/wp-content/themes/inspiro/assets/css/minified/style.min.css?ver=1.7.5	C:/Users/Usuario/Desktop/proyecto2/visitmexico.com/wp-content/themes/inspiro/assets/css/minified/style.min93f6.css	(from https://visitmexico.com/)
16:36:45	108424/108424	---M-Z	200	added ('OK')	text/css	etag:%221a788-5e96130e16a60-gzip%22	https://visitmexico.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.7.7	C:/Users/Usuario/Desktop/proyecto2/visitmexico.com/wp-content/plugins/elementor/assets/css/frontend-lite.minac9e.css	(from https://visitmexico.com/)
16:36:46	3433/3433	---M-Z	200	added ('OK')	text/css	etag:%22d69-5e9c6e5b758e0-gzip%22	https://visitmexico.com/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=5.3.2	C:/Users/Usuario/Desktop/proyecto2/visitmexico.com/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min9dff.css	(from https://visitmexico.com/)
